Freq.	V(vin)/I(CB)	V(vc)/Ic(Q1)	V(vc)/V(vin)
1.99526231496887e+05	(6.23992633460907e+01dB,1.17731649656535e+02°)	(7.41514035219634e+01dB,-1.79999999999990e+02°)	(4.56769432512996e+01dB,1.78476823209235e+02°)
2.23872113856833e+05	(6.15772963665815e+01dB,1.15423325270586e+02°)	(7.41514035219207e+01dB,1.79999999999994e+02°)	(4.56759942287063e+01dB,1.78250831288530e+02°)
2.51188643150957e+05	(6.07244908899236e+01dB,1.13327453125934e+02°)	(7.41514035218956e+01dB,1.79999999999985e+02°)	(4.56747959213557e+01dB,1.78001700713824e+02°)
2.81838293126444e+05	(5.98455728117676e+01dB,1.11447122366821e+02°)	(7.41514035219193e+01dB,1.79999999999994e+02°)	(4.56732847518221e+01dB,1.77726155251618e+02°)
3.16227766016836e+05	(5.89448580722067e+01dB,1.09781368081460e+02°)	(7.41514035219375e+01dB,-1.79999999999984e+02°)	(4.56713806198218e+01dB,1.77420580312420e+02°)
3.54813389233574e+05	(5.80261947603455e+01dB,1.08326380728776e+02°)	(7.41514035219290e+01dB,-1.79999999999994e+02°)	(4.56689827170870e+01dB,1.77080979972551e+02°)
3.98107170553495e+05	(5.70929545381101e+01dB,1.07076591698165e+02°)	(7.41514035218937e+01dB,1.79999999999984e+02°)	(4.56659642862384e+01dB,1.76702930967726e+02°)
4.46683592150961e+05	(5.61480585877996e+01dB,1.06025586954489e+02°)	(7.41514035218968e+01dB,1.79999999999983e+02°)	(4.56621660715871e+01dB,1.76281533867805e+02°)
5.01187233627269e+05	(5.51940253401899e+01dB,1.05166838183155e+02°)	(7.41514035219308e+01dB,-1.80000000000000e+02°)	(4.56573881556528e+01dB,1.75811361928658e+02°)
5.62341325190346e+05	(5.42330302748936e+01dB,1.04494263582867e+02°)	(7.41514035219554e+01dB,-1.79999999999974e+02°)	(4.56513798134939e+01dB,1.75286408532990e+02°)
6.30957344480190e+05	(5.32669711491350e+01dB,1.04002641329085e+02°)	(7.41514035219568e+01dB,-1.79999999999972e+02°)	(4.56438269492667e+01dB,1.74700034725343e+02°)
7.07945784384134e+05	(5.22975346258862e+01dB,1.03687901413816e+02°)	(7.41514035219195e+01dB,-1.79999999999991e+02°)	(4.56343366095425e+01dB,1.74044919179171e+02°)
7.94328234724277e+05	(5.13262622783843e+01dB,1.03547319251208e+02°)	(7.41514035219210e+01dB,-1.80000000000000e+02°)	(4.56224180032289e+01dB,1.73313014083102e+02°)
8.91250938133740e+05	(5.03546153530144e+01dB,1.03579629409915e+02°)	(7.41514035219207e+01dB,-1.79999999999977e+02°)	(4.56074594116265e+01dB,1.72495511990575e+02°)
9.99999999999994e+05	(4.93840385674702e+01dB,1.03785071536548e+02°)	(7.41514035219584e+01dB,-1.79999999999940e+02°)	(4.55887003660276e+01dB,1.71582830741234e+02°)
1.12201845430196e+06	(4.84160236828522e+01dB,1.04165373722033e+02°)	(7.41514035219559e+01dB,-1.79999999999979e+02°)	(4.55651985386323e+01dB,1.70564626225116e+02°)
1.25892541179416e+06	(4.74521736818306e+01dB,1.04723671609228e+02°)	(7.41514035219143e+01dB,1.79999999999937e+02°)	(4.55357909868261e+01dB,1.69429846072207e+02°)
