Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
1.88364908948980e+03	(4.51688904586289e+01dB,-1.62195663438116e+02°)	(6.69653472041610e+01dB,1.69429687842474e+02°)	(7.41599149284353e+01dB,-1.79999999999902e+02°)
1.99526231496888e+03	(4.52134433505160e+01dB,-1.63135045376483e+02°)	(6.69301628740505e+01dB,1.69879920774163e+02°)	(7.41599149284554e+01dB,-1.79999999999956e+02°)
2.11348903983665e+03	(4.52535400629731e+01dB,-1.64030670454692e+02°)	(6.68984105845847e+01dB,1.70307546964405e+02°)	(7.41599149284838e+01dB,1.79999999999992e+02°)
2.23872113856834e+03	(4.52895909896458e+01dB,-1.64883752266993e+02°)	(6.68697850092358e+01dB,1.70712417078330e+02°)	(7.41599149284437e+01dB,-1.79999999999892e+02°)
2.37137370566166e+03	(4.53219755791937e+01dB,-1.65695602243933e+02°)	(6.68440007128882e+01dB,1.71094516320003e+02°)	(7.41599149284775e+01dB,-1.79999999999954e+02°)
2.51188643150958e+03	(4.53510433086325e+01dB,-1.66467604987994e+02°)	(6.68207921976493e+01dB,1.71453939756409e+02°)	(7.41599149284369e+01dB,-1.79999999999964e+02°)
2.66072505979881e+03	(4.53771149323780e+01dB,-1.67201196541675e+02°)	(6.67999135849669e+01dB,1.71790870056115e+02°)	(7.41599149284442e+01dB,-1.79999999999974e+02°)
2.81838293126446e+03	(4.54004839263486e+01dB,-1.67897845475770e+02°)	(6.67811380183072e+01dB,1.72105557618127e+02°)	(7.41599149284548e+01dB,1.79999999999954e+02°)
2.98538261891796e+03	(4.54214180590211e+01dB,-1.68559036631275e+02°)	(6.67642568586132e+01dB,1.72398302999427e+02°)	(7.41599149284601e+01dB,1.79999999999981e+02°)
3.16227766016838e+03	(4.54401610331935e+01dB,-1.69186257313586e+02°)	(6.67490787332299e+01dB,1.72669441504095e+02°)	(7.41599149284623e+01dB,-1.79999999999962e+02°)
3.34965439157828e+03	(4.54569341530586e+01dB,-1.69780985718794e+02°)	(6.67354284882168e+01dB,1.72919329767828e+02°)	(7.41599149284707e+01dB,1.79999999999982e+02°)
3.54813389233576e+03	(4.54719379808285e+01dB,-1.70344681365146e+02°)	(6.67231460842766e+01dB,1.73148334156502e+02°)	(7.41599149285001e+01dB,1.79999999999972e+02°)
3.75837404288444e+03	(4.54853539555188e+01dB,-1.70878777305098e+02°)	(6.67120854680515e+01dB,1.73356820792195e+02°)	(7.41599149284657e+01dB,1.79999999999992e+02°)
3.98107170553498e+03	(4.54973459536089e+01dB,-1.71384673902201e+02°)	(6.67021134431444e+01dB,1.73545147022226e+02°)	(7.41599149284819e+01dB,1.79999999999976e+02°)
4.21696503428583e+03	(4.55080617772236e+01dB,-1.71863733970147e+02°)	(6.66931085590384e+01dB,1.73713654154518e+02°)	(7.41599149284779e+01dB,-1.79999999999989e+02°)
4.46683592150963e+03	(4.55176345603322e+01dB,-1.72317279086992e+02°)	(6.66849600308874e+01dB,1.73862661293263e+02°)	(7.41599149284822e+01dB,1.79999999999995e+02°)
4.73151258961481e+03	(4.55261840873617e+01dB,-1.72746586914613e+02°)	(6.66775666988922e+01dB,1.73992460122008e+02°)	(7.41599149284500e+01dB,-1.79999999999959e+02°)
5.01187233627273e+03	(4.55338180216931e+01dB,-1.73152889370772e+02°)	(6.66708360325299e+01dB,1.74103310495291e+02°)	(7.41599149284965e+01dB,1.79999999999970e+02°)
5.30884444230989e+03	(4.55406330438834e+01dB,-1.73537371518249e+02°)	(6.66646831821429e+01dB,1.74195436714162e+02°)	(7.41599149284910e+01dB,1.79999999999971e+02°)
5.62341325190350e+03	(4.55467159012425e+01dB,-1.73901171051686e+02°)	(6.66590300781849e+01dB,1.74269024374897e+02°)	(7.41599149284335e+01dB,-1.79999999999947e+02°)
5.95662143529011e+03	(4.55521443716979e+01dB,-1.74245378277975e+02°)	(6.66538045767831e+01dB,1.74324217693726e+02°)	(7.41599149284549e+01dB,1.79999999999982e+02°)
