time	V(vin)	V(vc)
1.345860520922517e-04	3.354526e-03	6.157297e+00
1.348580945029660e-04	4.081698e-03	6.002834e+00
1.351301369136803e-04	4.804866e-03	5.845795e+00
1.354021793243947e-04	5.524030e-03	5.686181e+00
1.356742217351089e-04	6.239191e-03	5.523991e+00
1.359462641458233e-04	6.950349e-03	5.359225e+00
1.362183065565375e-04	7.657503e-03	5.191883e+00
1.364903489672519e-04	8.360653e-03	5.021966e+00
1.367833177172519e-04	9.109993e-03	4.837452e+00
1.370762864672519e-04	9.851748e-03	4.651464e+00
1.372227708422519e-04	1.021946e-02	4.558551e+00
1.373692552172519e-04	1.058410e-02	4.470879e+00
1.375157395922519e-04	1.093652e-02	4.401724e+00
1.376622239672520e-04	1.126905e-02	4.359056e+00
1.379551927172520e-04	1.192120e-02	4.318905e+00
1.382481614672520e-04	1.257244e-02	4.299249e+00
1.386876145922520e-04	1.353263e-02	4.283168e+00
1.391270677172521e-04	1.447567e-02	4.272945e+00
1.397548578958235e-04	1.579450e-02	4.264723e+00
1.403826480743950e-04	1.704957e-02	4.257689e+00
1.410104382529665e-04	1.824087e-02	4.251844e+00
1.416382284315380e-04	1.936839e-02	4.247188e+00
1.422660186101094e-04	2.043215e-02	4.243720e+00
1.428938087886809e-04	2.143213e-02	4.241441e+00
1.435215989672524e-04	2.236835e-02	4.240351e+00
1.439401257529667e-04	2.294650e-02	4.239237e+00
1.443586525386810e-04	2.348872e-02	4.238224e+00
1.447771793243954e-04	2.399501e-02	4.237312e+00
1.451957061101097e-04	2.446536e-02	4.236501e+00
1.456142328958240e-04	2.489978e-02	4.235791e+00
1.460327596815383e-04	2.529827e-02	4.235182e+00
1.464512864672526e-04	2.566082e-02	4.234674e+00
1.465977708422526e-04	2.577824e-02	4.234505e+00
1.470581503065384e-04	2.611773e-02	4.234036e+00
1.475185297708241e-04	2.640961e-02	4.233637e+00
1.479789092351099e-04	2.665388e-02	4.233307e+00
1.484392886993956e-04	2.685055e-02	4.233046e+00
1.488996681636814e-04	2.699960e-02	4.232855e+00
1.493600476279671e-04	2.710105e-02	4.232733e+00
1.498204270922529e-04	2.715488e-02	4.232679e+00
1.499669114672529e-04	2.716164e-02	4.232673e+00
1.500000000000000e-04	2.716248e-02	4.232672e+00
