Freq.	V(vout)/V(vin)	V(vin)/Ix(x1:VIN)
2.98538261891796e+03	(5.93678451297819e+01dB,-1.07750772683168e+00°)	(8.56904407120020e+01dB,-2.42319028214343e+00°)
3.16227766016838e+03	(5.93675880327679e+01dB,-1.16445404391512e+00°)	(8.56887572186363e+01dB,-2.54806198586578e+00°)
3.34965439157828e+03	(5.93672987001897e+01dB,-1.25525347987548e+00°)	(8.56868701471991e+01dB,-2.68125263228175e+00°)
3.54813389233576e+03	(5.93669732990788e+01dB,-1.35020575562244e+00°)	(8.56847548284008e+01dB,-2.82317992605941e+00°)
3.75837404288444e+03	(5.93666075203609e+01dB,-1.44962412370010e+00°)	(8.56823836596203e+01dB,-2.97428609684291e+00°)
3.98107170553498e+03	(5.93661965212274e+01dB,-1.55383636240827e+00°)	(8.56797257630690e+01dB,-3.13503854465463e+00°)
4.21696503428583e+03	(5.93657348617288e+01dB,-1.66318581024503e+00°)	(8.56767466066923e+01dB,-3.30593041979963e+00°)
4.46683592150963e+03	(5.93652164331114e+01dB,-1.77803244164675e+00°)	(8.56734075843420e+01dB,-3.48748111188846e+00°)
4.73151258961481e+03	(5.93646343772986e+01dB,-1.89875398669909e+00°)	(8.56696655516406e+01dB,-3.68023661878361e+00°)
5.01187233627273e+03	(5.93639809989294e+01dB,-2.02574709590507e+00°)	(8.56654723137124e+01dB,-3.88476976190906e+00°)
5.30884444230989e+03	(5.93632476616298e+01dB,-2.15942855066227e+00°)	(8.56607740611422e+01dB,-4.10168020341376e+00°)
5.62341325190350e+03	(5.93624246779991e+01dB,-2.30023652200960e+00°)	(8.56555107502695e+01dB,-4.33159422129419e+00°)
5.95662143529011e+03	(5.93615011814196e+01dB,-2.44863187632284e+00°)	(8.56496154243794e+01dB,-4.57516418124585e+00°)
6.30957344480194e+03	(5.93604649866737e+01dB,-2.60509952996782e+00°)	(8.56430134724091e+01dB,-4.83306764264989e+00°)
6.68343917568615e+03	(5.93593024300803e+01dB,-2.77014985040476e+00°)	(8.56356218225817e+01dB,-5.10600601807790e+00°)
7.07945784384138e+03	(5.93579981926316e+01dB,-2.94432010308197e+00°)	(8.56273480689277e+01dB,-5.39470270050911e+00°)
7.49894209332456e+03	(5.93565351045313e+01dB,-3.12817594377505e+00°)	(8.56180895297986e+01dB,-5.69990055678467e+00°)
7.94328234724282e+03	(5.93548939227661e+01dB,-3.32231294944560e+00°)	(8.56077322392644e+01dB,-6.02235866857433e+00°)
8.41395141645196e+03	(5.93530530846892e+01dB,-3.52735818497246e+00°)	(8.55961498739088e+01dB,-6.36284819308786e+00°)
8.91250938133746e+03	(5.93509884344588e+01dB,-3.74397180036870e+00°)	(8.55832026203709e+01dB,-6.72214719832565e+00°)
9.44060876285924e+03	(5.93486729161289e+01dB,-3.97284864679005e+00°)	(8.55687359924207e+01dB,-7.10103430836294e+00°)
1.00000000000000e+04	(5.93460762321324e+01dB,-4.21471990378765e+00°)	(8.55525796101998e+01dB,-7.50028098603344e+00°)
1.05925372517729e+04	(5.93431644642020e+01dB,-4.47035470207983e+00°)	(8.55345459597191e+01dB,-7.92064226320699e+00°)
1.12201845430196e+04	(5.93398996505700e+01dB,-4.74056172616900e+00°)	(8.55144291567680e+01dB,-8.36284571895167e+00°)
1.18850222743702e+04	(5.93362393192732e+01dB,-5.02619077631614e+00°)	(8.54920037465494e+01dB,-8.82757850649860e+00°)
1.25892541179417e+04	(5.93321359669226e+01dB,-5.32813426226136e+00°)	(8.54670235796044e+01dB,-9.31547222136406e+00°)
1.33352143216333e+04	(5.93275364858386e+01dB,-5.64732860138582e+00°)	(8.54392208136598e+01dB,-9.82708542871798e+00°)
1.41253754462276e+04	(5.93223815260536e+01dB,-5.98475548027050e+00°)	(8.54083051028637e+01dB,-1.03628836789666e+01°)
1.49623565609443e+04	(5.93166047971996e+01dB,-6.34144294066353e+00°)	(8.53739630469793e+01dB,-1.09232168980511e+01°)
1.58489319246111e+04	(5.93101322963830e+01dB,-6.71846623285524e+00°)	(8.53358579865926e+01dB,-1.15082940863059e+01°)
1.67880401812256e+04	(5.93028814613299e+01dB,-7.11694837677307e+00°)	(8.52936302423800e+01dB,-1.21181553559604e+01°)
1.77827941003892e+04	(5.92947602452988e+01dB,-7.53806035944051e+00°)	(8.52468979080529e+01dB,-1.27526414557150e+01°)
1.88364908948980e+04	(5.92856661061316e+01dB,-7.98302088190129e+00°)	(8.51952583168589e+01dB,-1.34113610704361e+01°)
1.99526231496888e+04	(5.92754849088003e+01dB,-8.45309556095422e+00°)	(8.51382903072077e+01dB,-1.40936563737326e+01°)
2.11348903983665e+04	(5.92640897380213e+01dB,-8.94959547024751e+00°)	(8.50755574143633e+01dB,-1.47985675205325e+01°)
2.23872113856834e+04	(5.92513396202403e+01dB,-9.47387489589751e+00°)	(8.50066121089771e+01dB,-1.55247970121593e+01°)
2.37137370566166e+04	(5.92370781562213e+01dB,-1.00273281589986e+01°)	(8.49310011880466e+01dB,-1.62706751242890e+01°)
2.51188643150958e+04	(5.92211320702937e+01dB,-1.06113853466162e+01°)	(8.48482723967383e+01dB,-1.70341278679185e+01°)
2.66072505979881e+04	(5.92033096800491e+01dB,-1.12275067676114e+01°)	(8.47579823217846e+01dB,-1.78126491886511e+01°)
2.81838293126446e+04	(5.91833993018035e+01dB,-1.18771759412090e+01°)	(8.46597055424807e+01dB,-1.86032793480079e+01°)
2.98538261891796e+04	(5.91611676096107e+01dB,-1.25618909082093e+01°)	(8.45530449603195e+01dB,-1.94025915652083e+01°)
3.16227766016838e+04	(5.91363579670217e+01dB,-1.32831536396995e+01°)	(8.44376431511538e+01dB,-2.02066890434690e+01°)
3.34965439157828e+04	(5.91086887693750e+01dB,-1.40424573206166e+01°)	(8.43131944969480e+01dB,-2.10112144344699e+01°)
3.54813389233576e+04	(5.90778518355532e+01dB,-1.48412712849061e+01°)	(8.41794577673656e+01dB,-2.18113735427156e+01°)
3.75837404288444e+04	(5.90435108959387e+01dB,-1.56810233842501e+01°)	(8.40362687388567e+01dB,-2.26019746650402e+01°)
3.98107170553498e+04	(5.90053002483413e+01dB,-1.65630796134822e+01°)	(8.38835523664183e+01dB,-2.33774843894311e+01°)
