x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.16000E-06,-406.78940375E-03,-385.35038059E-03,+478.92656E-06,-6.18291671E-03
-9.15000E-06,-400.98522693E-03,-380.18625449E-03,+390.47805E-06,-6.44513775E-03
-9.14000E-06,-395.43926394E-03,-368.37384744E-03,+423.03463E-06,-6.54450579E-03
-9.13000E-06,-391.08513254E-03,-370.16099177E-03,+225.05083E-06,-6.78180925E-03
-9.12000E-06,-385.62721327E-03,-360.66843881E-03,+208.74465E-06,-6.99263627E-03
-9.11000E-06,-380.98271850E-03,-350.74456206E-03,+213.99034E-06,-6.82856816E-03
-9.10000E-06,-375.39586192E-03,-349.17730089E-03,+176.92454E-06,-6.97340686E-03
-9.09000E-06,-370.32411388E-03,-340.48743078E-03,+382.86845E-06,-6.77456977E-03
-9.08000E-06,-362.41389805E-03,-334.01795096E-03,+48.50659E-06,-6.85316462E-03
-9.07000E-06,-354.05076211E-03,-331.30940044E-03,+152.65598E-06,-6.95280930E-03
-9.06000E-06,-341.96091935E-03,-319.48199280E-03,+140.25222E-06,-6.70075626E-03
-9.05000E-06,-337.62691438E-03,-312.24559789E-03,-108.63789E-06,-7.29235127E-03
-9.04000E-06,-326.85508915E-03,-310.70897865E-03,-390.62203E-06,-7.09912395E-03
-9.03000E-06,-322.08791359E-03,-292.30380797E-03,-213.25237E-06,-7.21017889E-03
-9.02000E-06,-309.08729320E-03,-292.22205847E-03,-350.48600E-06,-6.98829891E-03
-9.01000E-06,-303.93258958E-03,-284.40878120E-03,+183.47882E-06,-6.98208761E-03
-9.00000E-06,-300.90160154E-03,-273.83546893E-03,+49.35386E-06,-6.68861407E-03
-8.99000E-06,-291.66632016E-03,-267.00525861E-03,-141.96409E-06,-7.34272465E-03
-8.98000E-06,-280.34689766E-03,-259.25043845E-03,-603.46848E-06,-7.21963756E-03
-8.97000E-06,-271.40107510E-03,-250.84056697E-03,-467.07684E-06,-7.26856666E-03
-8.96000E-06,-265.85300148E-03,-245.63332356E-03,-231.67974E-06,-7.34049415E-03
-8.95000E-06,-257.25517022E-03,-237.06835794E-03,+29.99253E-06,-7.07576523E-03
-8.94000E-06,-249.52609229E-03,-231.43129834E-03,-82.34538E-06,-6.83593729E-03
-8.93000E-06,-245.28781979E-03,-221.67989080E-03,-56.04307E-06,-6.74646663E-03
-8.92000E-06,-239.85044155E-03,-216.90585567E-03,-10.46838E-06,-6.90431289E-03
-8.91000E-06,-230.39422170E-03,-209.72411119E-03,-161.13396E-06,-7.25220469E-03
-8.90000E-06,-224.90686658E-03,-200.04186471E-03,-308.33281E-06,-7.79267631E-03
-8.89000E-06,-222.37685335E-03,-195.18913296E-03,-508.38126E-06,-7.51685900E-03
-8.88000E-06,-217.23692419E-03,-183.83375425E-03,-431.48170E-06,-7.48127818E-03
-8.87000E-06,-204.22005943E-03,-172.99144881E-03,-426.52020E-06,-7.39477070E-03
-8.86000E-06,-198.17176480E-03,-164.99273699E-03,+135.68721E-06,-6.99515246E-03
-8.85000E-06,-187.92416908E-03,-156.91216260E-03,-141.72439E-06,-7.16109904E-03
-8.84000E-06,-181.23084865E-03,-157.69486978E-03,-353.87056E-06,-7.16677439E-03
-8.83000E-06,-172.39651296E-03,-147.63674143E-03,-571.37172E-06,-7.47547091E-03
-8.82000E-06,-163.79189751E-03,-137.68342883E-03,-185.75982E-06,-7.32644862E-03
-8.81000E-06,-162.34317124E-03,-130.05667912E-03,-455.26858E-06,-7.62989040E-03
-8.80000E-06,-150.44147670E-03,-127.34360580E-03,-563.29778E-06,-7.10056672E-03
-8.79000E-06,-144.81798549E-03,-113.38675371E-03,-103.54221E-06,-7.08840644E-03
-8.78000E-06,-137.12271545E-03,-108.08049880E-03,-40.87287E-06,-7.08834915E-03
-8.77000E-06,-132.13931265E-03,-100.94963575E-03,-112.24180E-06,-7.38708798E-03
-8.76000E-06,-122.55268557E-03,-90.11369992E-03,-163.31696E-06,-7.64447340E-03
-8.75000E-06,-111.84059891E-03,-87.30783394E-03,-252.86828E-06,-7.63651026E-03
-8.74000E-06,-103.17579261E-03,-78.41617184E-03,-15.82865E-06,-7.29897038E-03
