x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-101.4000E-06,+155.4333733E-03,+1.5485238849E+00,+5.8795539893E+00,+6.3336997130E+00
-101.2800E-06,+149.7801071E-03,+1.5513505180E+00,+5.8041771056E+00,+6.2580087591E+00
-101.1600E-06,+141.3002077E-03,+1.5535490105E+00,+5.7288002220E+00,+6.1782348906E+00
-101.0400E-06,+135.9610117E-03,+1.5579459953E+00,+5.6509107756E+00,+6.0981469517E+00
-100.9200E-06,+127.4811123E-03,+1.5595163471E+00,+5.5733353996E+00,+6.0202575053E+00
-100.8000E-06,+120.5715647E-03,+1.5617148395E+00,+5.4941896718E+00,+5.9461369031E+00
-100.6800E-06,+112.4057356E-03,+1.5645414727E+00,+5.4175565068E+00,+5.8720163009E+00
-100.5600E-06,+106.4383990E-03,+1.5667399651E+00,+5.3380967086E+00,+5.7928705731E+00
-100.4400E-06,+97.9584996E-03,+1.5695665982E+00,+5.2589509808E+00,+5.7058730866E+00
-100.3200E-06,+91.3630223E-03,+1.5723932314E+00,+5.1744660571E+00,+5.6210740925E+00
-100.2000E-06,+82.2549822E-03,+1.5777324273E+00,+5.0887248520E+00,+5.5413002240E+00
-100.0800E-06,+76.9157862E-03,+1.5786746383E+00,+5.0058102800E+00,+5.4505338934E+00
-99.9600E-06,+69.0640275E-03,+1.5811872011E+00,+4.9197550046E+00,+5.3641645475E+00
-99.8400E-06,+59.6419171E-03,+1.5830716232E+00,+4.8299308849E+00,+5.2765389203E+00
-99.7200E-06,+52.7323694E-03,+1.5874686081E+00,+4.7379082728E+00,+5.1876570117E+00
-99.6000E-06,+46.1368921E-03,+1.5902952412E+00,+4.6461997311E+00,+5.0931218369E+00
-99.4800E-06,+38.9132741E-03,+1.5943781558E+00,+4.5585741039E+00,+5.0023555062E+00
-99.3600E-06,+32.0037264E-03,+1.5975188592E+00,+4.4637248587E+00,+4.9065640499E+00
-99.2400E-06,+23.5238270E-03,+1.6012877034E+00,+4.3688756135E+00,+4.8085741012E+00
-99.1200E-06,+17.2424200E-03,+1.6031721255E+00,+4.2743404386E+00,+4.7108982229E+00
-99.0000E-06,+13.4735759E-03,+1.6085113214E+00,+4.1769786306E+00,+4.6163630480E+00
-98.8800E-06,+7.1921689E-03,+1.6103957435E+00,+4.0808731040E+00,+4.5193153104E+00
-98.7600E-06,-31.4491E-06,+1.6151067988E+00,+3.9769158187E+00,+4.4188127989E+00
-98.6400E-06,-8.1972782E-03,+1.6182475022E+00,+3.8754710962E+00,+4.3189384281E+00
-98.5200E-06,-16.0490369E-03,+1.6217022761E+00,+3.7818781323E+00,+4.2178077759E+00
-98.4000E-06,-24.2148659E-03,+1.6251570499E+00,+3.6851444650E+00,+4.1217022493E+00
-98.2800E-06,-29.8681322E-03,+1.6279836830E+00,+3.5824434611E+00,+4.0208856675E+00
-98.1600E-06,-38.6621020E-03,+1.6298681051E+00,+3.4838253717E+00,+3.9228957188E+00
-98.0400E-06,-44.9435089E-03,+1.6355213714E+00,+3.3867776340E+00,+3.8208228555E+00
-97.9200E-06,-54.0515490E-03,+1.6377198638E+00,+3.2900439667E+00,+3.7234610475E+00
-97.8000E-06,-61.2751671E-03,+1.6411746377E+00,+3.1958228622E+00,+3.6260992395E+00
-97.6800E-06,-66.6143630E-03,+1.6458856929E+00,+3.1000314060E+00,+3.5306218536E+00
-97.5600E-06,-74.1520513E-03,+1.6493404667E+00,+3.0048680904E+00,+3.4282349200E+00
-97.4400E-06,-84.5163728E-03,+1.6509108185E+00,+2.9131595487E+00,+3.3349560266E+00
-97.3200E-06,-89.5414984E-03,+1.6537374516E+00,+2.8205087959E+00,+3.2413630627E+00
-97.2000E-06,-96.1369757E-03,+1.6578203661E+00,+2.7281721135E+00,+3.1502826617E+00
-97.0800E-06,-104.6168751E-03,+1.6625314214E+00,+2.6380339235E+00,+3.0573178386E+00
-96.9600E-06,-108.6997897E-03,+1.6641017731E+00,+2.5444409597E+00,+2.9684359300E+00
-96.8400E-06,-117.1796891E-03,+1.6691268987E+00,+2.4524183476E+00,+2.8764133179E+00
-96.7200E-06,-123.4610960E-03,+1.6735238836E+00,+2.3610238762E+00,+2.7847047762E+00
-96.6000E-06,-130.3706437E-03,+1.6747801649E+00,+2.2730841786E+00,+2.7014761338E+00
-96.4800E-06,-139.1646135E-03,+1.6785490091E+00,+2.1873429735E+00,+2.6160489991E+00
-96.3600E-06,-144.5038094E-03,+1.6826319237E+00,+2.1012876981E+00,+2.5243404574E+00
-96.2400E-06,-151.4133570E-03,+1.6860866975E+00,+2.0149183523E+00,+2.4367148302E+00
-96.1200E-06,-159.5791861E-03,+1.6882851899E+00,+1.9294912175E+00,+2.3475188512E+00
-96.0000E-06,-166.8028041E-03,+1.6898555417E+00,+1.8412374496E+00,+2.2630339275E+00
-95.8800E-06,-174.0264221E-03,+1.6933103155E+00,+1.7570665962E+00,+2.1801193555E+00
-95.7600E-06,-179.6796884E-03,+1.6980213707E+00,+1.6766645870E+00,+2.0946922208E+00
-95.6400E-06,-187.8455175E-03,+1.6995917225E+00,+1.5950062965E+00,+2.0095791563E+00
-95.5200E-06,-195.6972762E-03,+1.7033605667E+00,+1.5146042873E+00,+1.9266645844E+00
-95.4000E-06,-202.9208942E-03,+1.7065012701E+00,+1.4376570519E+00,+1.8428078013E+00
-95.2800E-06,-209.5163715E-03,+1.7115263957E+00,+1.3588253945E+00,+1.7639761439E+00
-95.1600E-06,-215.1696378E-03,+1.7127826771E+00,+1.2809359481E+00,+1.6854585568E+00
-95.0400E-06,-222.0791854E-03,+1.7162374509E+00,+1.1986495168E+00,+1.6041143366E+00
-94.9200E-06,-230.2450145E-03,+1.7228329283E+00,+1.1229585628E+00,+1.5271671012E+00
-94.8000E-06,-238.0967732E-03,+1.7244032800E+00,+1.0469535385E+00,+1.4514761472E+00
-94.6800E-06,-243.4359691E-03,+1.7278580538E+00,+975.0314287E-03,+1.3779836857E+00
-94.5600E-06,-252.2299389E-03,+1.7319409684E+00,+901.8530375E-03,+1.3048052945E+00
-94.4400E-06,-261.0239086E-03,+1.7353957422E+00,+832.7575609E-03,+1.2316269034E+00
-94.3200E-06,-268.5615970E-03,+1.7404208678E+00,+766.1746470E-03,+1.1634736378E+00
-94.2000E-06,-276.4133557E-03,+1.7416771492E+00,+704.6168588E-03,+1.0981470053E+00
